model_disease	model_gender	years_of_deaths	years_of_asbestos	num_points	countries_included	intercept	BO_CI1	BO_CI2	B0_SE	B0_p_value	slope	B1_CI1	B1_CI2	B1_SE	B1_p_value	adjusted_R_squared	p_value
all mesothelioma	males	2010-2014	1965	32	paper 2007 countries	0.169510516308736	-0.0501669922414226	0.389188024858895	0.107565231011349	0.125540237683425	0.286759841330616	0.194716128467207	0.378803554194025	0.0450692622227835	0.000000508310221501117	0.560179421152837	0.000000508310221501114
all mesothelioma	females	2010-2014	1965	31	paper 2007 countries	-0.154916825899882	-0.335383560655333	0.0255499088555699	0.0882378834326234	0.0897032740674803	0.173042830486335	0.0976555273606652	0.248430133612005	0.036860067726702	0.0000592426718051493	0.412215987991374	0.0000592426718051493
pleural mesothelioma	males	2010-2014	1965	26	paper 2007 countries	-0.0699758710256255	-0.57316403940538	0.433212297354128	0.243804699385436	0.77656343730767	0.122255670686835	-0.0844505791828884	0.328961920556558	0.100153299058783	0.234063005820578	0.0192260283837742	0.234063005820578
pleural mesothelioma	females	2010-2014	1965	23	paper 2007 countries	-0.365661341827974	-0.851733735227448	0.1204110515715	0.233732043394395	0.132658001859319	-0.0102323310202504	-0.20793435452611	0.187469692485609	0.095066699044672	0.915308390482132	-0.0470414346876025	0.915308390482132
peritoneal mesothelioma	males	2010-2014	1965	24	paper 2007 countries	-0.879509275984763	-1.07858898600092	-0.680429565968604	0.0959941633348661	0.00000000578768073711981	0.176997245755094	0.0959481444229961	0.258046347087192	0.0390810327721795	0.000165719675734888	0.45897204835884	0.000165719675734888
peritoneal mesothelioma	females	2010-2014	1965	23	paper 2007 countries	-1.06526206596937	-1.20082588343757	-0.929698248501164	0.06518701431609	0.00000000000020395488695643	0.134834676204496	0.0797382177376233	0.189931134671368	0.0264936005338467	0.000048553274782171	0.530929645525438	0.0000485532747821715
asbestosis	males	2010-2014	1965	27	paper 2007 countries	-1.14857996918918	-1.3415654056051	-0.955594532773267	0.0937032405428506	0.00000000000454934137084849	0.404392828348298	0.32298615485054	0.485799501846055	0.0395266567789802	0.000000000201874122033054	0.799492692929862	0.000000000201874122033053
asbestosis	females	2010-2014	1965	14	paper 2007 countries	-1.57561725128513	-1.86722863046427	-1.28400587210598	0.133839573187974	0.0000000598412561240758	0.0641134240569277	-0.0500216981291483	0.178248546243004	0.052384087624226	0.244473549319275	0.0368912442335028	0.244473549319275
