Country_Name	Country_3char	AAMR_per_million	population	PC_asbestos_kg	AAMR_per_million_log10	Year	male_population
Argentina	ARG	0.0474866528133169	25866000	0.763279981442821	-1.32342844140845	1975	12798000
Australia	AUS	3.93844837187945	13773000	5.0480166509354	0.595325156786464	1975	6903000
Austria	AUT	0.308158779842945	7638000	3.86344592825347	-0.511225454144491	1975	3599000
Belgium	BEL	1.06719058304579	9772000	5.28523715736679	0.0282419843486243	1975	4781000
Bosnia and Herzegovina	BIH	0.389130434782609	3985000	0.0492145158702893	-0.409904800701681	1975	1961000
Brazil	BRA	0.0945951124005442	107216000	1.04676540814804	-1.02413130241755	1975	53417000
Bulgaria	BGR	0.47928161317694	8738000	1.25917448691539	-0.319409231656999	1975	4362000
Canada	CAN	1.69840563221985	23059000	4.37449585845006	0.230041421359275	1975	11536000
Chile	CHL	0.24926561839514	10592000	0.33987915407855	-0.603337620296875	1975	5229000
Colombia	COL	0.0840300048960444	24066000	0.814704008421286	-1.07556561115241	1975	11900000
Costa Rica	CRI	0.505555555555556	2094000	0.800382043935053	-0.296231112782212	1975	1058000
Croatia	HRV	2.1437253161002	4501000	3.39865540279094	0.331169136736961	1975	2180000
Cyprus	CYP	1.3	650000	6.60923076923077	0.113943352306837	1975	323000
Czech Republic	CZE	0.116556764348799	10070000	2.85391150833057	-0.933462517217532	1975	4875000
Denmark	DNK	0.378645910320518	5063000	4.38264533544012	-0.421766729542718	1975	2507000
Egypt	EGY	0.124610892921802	38549000	0.153198958900793	-0.904443991954099	1975	19537000
Finland	FIN	2.90144084349919	4719000	1.87087659814933	0.462613720306796	1975	2280000
France	FRA	1.34707743140525	52689000	2.62226144609564	0.129392560136884	1975	25798000
Germany	DEU	1.39508393204868	78856000	4.4168737952724	0.144600336734401	1975	37469000
Greece	GRC	0.11304347826087	9014000	1.67506101619703	-0.946754488046775	1975	4442000
Hong Kong SAR	HKG	0.176604663313493	4209000	0.0456165359942979	-0.752997832895605	1975	2135000
Hungary	HUN	0.131974415299134	10527000	2.87964282321649	-0.879510253425675	1975	5101000
Iceland	ISL	6.83333333333333	218000	1.59021406727829	0.834632606336092	1975	111000
Iran (Islamic Republic of)	IRN	0.0729328944997441	32730000	0.604980140543844	-1.13707655017865	1975	16820000
Ireland	IRL	1.12662313177156	3137000	1.62161300605674	0.0517786639041361	1975	1577000
Israel	ISR	0.211459705753184	3297000	1.16216762713578	-0.674772376450806	1975	1655000
Italy	ITA	0.481642752833822	55265000	2.68446575590337	-0.317274970056441	1975	26914000
Jamaica	JAM	0.606666666666667	2028000	0.529421433267587	-0.217049866734588	1975	995000
Japan	JPN	0.406722884188103	112413000	2.88786587553634	-0.390701391408991	1975	55482000
Kazakhstan	KAZ	1.0700094668992	14050000	5.20601677393126	0.0293876201187559	1975	6781000
Mexico	MEX	0.0779662443058953	59608000	1.00584373462175	-1.10809338557553	1975	29748000
Netherlands	NLD	0.448264499319628	13683000	1.81385661039246	-0.348465654085544	1975	6819000
New Zealand	NZL	2.85454777779421	3083000	2.82171045518434	0.455537316377116	1975	1537000
Norway	NOR	0.879352338620487	4008000	1.14055222887558	-0.0558370770777667	1975	1989000
Peru	PER	0.0827272727272727	15425000	0.220378173960022	-1.08235129283713	1975	7720000
Philippines	PHL	0.0451020408163265	41286000	0.0878586768719017	-1.3458038063434	1975	20900000
Poland	POL	0.117083802708483	33971000	2.37525143995369	-0.931503180767702	1975	16522000
Portugal	PRT	0.216840567883239	9172000	1.17248146532926	-0.663859464017185	1975	4380000
Republic of Korea	KOR	0.0916929393648153	35379000	1.36248433628235	-1.03766410503835	1975	17738000
Serbia	SRB	0.116030534351145	8497000	0.694355501091171	-0.935427707710992	1975	4201000
Slovakia	SVK	0.282631578947368	4753000	3.02323678612338	-0.548779315253273	1975	2341000
South Africa	ZAF	3.00170790086012	25195000	0.693232784282596	0.477368428341392	1975	12556000
Spain	ESP	0.413465160695318	35879000	2.20983490807065	-0.38356107898984	1975	17566000
Sweden	SWE	0.509872689415768	8197000	1.43072668862592	-0.292538249757724	1975	4076000
Switzerland	CHE	0.557397938704805	6337000	2.93624743569512	-0.253834641670049	1975	3088000
Turkey	TUR	0.153960815531302	39277000	0.56553029338629	-0.812589797111052	1975	19515000
United Kingdom	GBR	2.52776650239503	56152000	2.26117205679821	0.402736954339438	1975	27316000
United States of America	USA	1.25581223838401	219081000	2.39156141640154	0.0989247111134316	1975	107741000
Uruguay	URY	0.422222222222222	2830000	0.74793875147232	-0.374458912822515	1975	1401000
Venezuela	VEN	0.137318468781621	13190000	0.879959565327268	-0.862271047974224	1975	6678000
