Country_Name	Country_3char	AAMR_per_million	population	PC_asbestos_kg	AAMR_per_million_log10	Year	male_population
Argentina	ARG	4.45226873263877	25866000	0.763279981442821	0.648581369854013	1975	12798000
Australia	AUS	25.8897564047364	13773000	5.0480166509354	1.41312796420171	1975	6903000
Austria	AUT	9.37806238716955	7638000	3.86344592825347	0.972113117538398	1975	3599000
Belgium	BEL	16.9059646995605	9772000	5.28523715736679	1.22803995781353	1975	4781000
Bosnia and Herzegovina	BIH	2.29372890865324	3985000	0.0492145158702893	0.360542088180305	1975	1961000
Brazil	BRA	0.589175912395186	107216000	1.04676540814804	-0.229755016968059	1975	53417000
Bulgaria	BGR	0.777001956506692	8738000	1.25917448691539	-0.109577887635392	1975	4362000
Canada	CAN	11.7308760260672	23059000	4.37449585845006	1.06933044511477	1975	11536000
Chile	CHL	3.5624745720584	10592000	0.33987915407855	0.551751773155757	1975	5229000
Colombia	COL	1.82992660105221	24066000	0.814704008421286	0.262433670387649	1975	11900000
Costa Rica	CRI	0.805077137505824	2094000	0.800382043935053	-0.0941625062306709	1975	1058000
Croatia	HRV	16.1337434301368	4501000	3.39865540279094	1.20773514621288	1975	2180000
Cyprus	CYP	5.50097888222888	650000	6.60923076923077	0.740439977734883	1975	323000
Czech Republic	CZE	3.47867839438792	10070000	2.85391150833057	0.541414279854565	1975	4875000
Denmark	DNK	14.6636052426834	5063000	4.38264533544012	1.16624076051718	1975	2507000
Ecuador	ECU	0.502140737727478	6994000	0.483176055666762	-0.299174543707183	1975	3514000
Egypt	EGY	0.113964412072793	38549000	0.153198958900793	-0.943230745622661	1975	19537000
El Salvador	SLV	0.394642857142857	4155000	0.654071399919775	-0.40379575332109	1975	2060000
Estonia	EST	3.12999594102024	1422000	0.566133844021378	0.495543774353587	1975	654000
Finland	FIN	12.9440219031686	4719000	1.87087659814933	1.11206923915828	1975	2280000
France	FRA	11.4792063763526	52689000	2.62226144609564	1.05991186382111	1975	25798000
Germany	DEU	12.0077518039489	78856000	4.4168737952724	1.07946170261218	1975	37469000
Greece	GRC	3.72988778778943	9014000	1.67506101619703	0.57169576642614	1975	4442000
Guatemala	GTM	0.555796872941721	6434000	0.211895140399959	-0.255083901005886	1975	3248000
Hong Kong SAR	HKG	2.86351069562132	4209000	0.0456165359942979	0.456898809604279	1975	2135000
Hungary	HUN	3.06310526866671	10527000	2.87964282321649	0.486161922309505	1975	5101000
Iceland	ISL	11.4044285714286	218000	1.59021406727829	1.05707352946426	1975	111000
Iran (Islamic Republic of)	IRN	0.126169680136447	32730000	0.604980140543844	-0.899044997956218	1975	16820000
Ireland	IRL	9.5370867615623	3137000	1.62161300605674	0.979415733551532	1975	1577000
Israel	ISR	5.69730740589552	3297000	1.16216762713578	0.755669653032659	1975	1655000
Italy	ITA	16.1648229402683	55265000	2.68446575590337	1.20857095197352	1975	26914000
Jamaica	JAM	1.51288284814601	2028000	0.529421433267587	0.179805299223717	1975	995000
Japan	JPN	6.75637783421681	112413000	2.88786587553634	0.829713928454794	1975	55482000
Kazakhstan	KAZ	2.25602079966405	14050000	5.20601677393126	0.353343099361696	1975	6781000
Kuwait	KWT	3.88649699139137	1022000	2.52772341813438	0.58955833584631	1975	553000
Kyrgyzstan	KGZ	1.28875984820526	3291000	5.21137092595889	0.110171997015033	1975	1593000
Latvia	LVA	3.26347037808722	2469000	1.45292369604701	0.513679675039763	1975	1137000
Lithuania	LTU	2.02811954516717	3299000	0.208398346945569	0.307093550403059	1975	1553000
Luxembourg	LUX	13.0431067266067	354000	5.26834980662437	1.1153810479544	1975	177000
Malaysia	MYS	0.300935854914013	12162000	1.82247985528696	-0.521526065288727	1975	6147000
Mexico	MEX	3.53251745379879	59608000	1.00584373462175	0.54808431632945	1975	29748000
Morocco	MAR	0.112413271716434	17796000	0.327433131040683	-0.949182412139245	1975	8826000
Netherlands	NLD	27.1424324530795	13683000	1.81385661039246	1.43364876571179	1975	6819000
New Zealand	NZL	19.0831366608621	3083000	2.82171045518434	1.28064976043851	1975	1537000
Nicaragua	NIC	0.850660739291897	2807000	0.281558009737561	-0.0702436108090053	1975	1407000
North Macedonia	MKD	0.712903225806452	1803000	0.435096718232064	-0.146969420149162	1975	914000
Norway	NOR	12.5536920340643	4008000	1.14055222887558	1.09877147037595	1975	1989000
Panama	PAN	1.30486471861472	1745000	0.0978032473734479	0.115565488682291	1975	887000
Peru	PER	1.23250477450865	15425000	0.220378173960022	0.0907886103336446	1975	7720000
Philippines	PHL	0.0843269482507424	41286000	0.0878586768719017	-1.07403361628436	1975	20900000
Poland	POL	5.81321082100523	33971000	2.37525143995369	0.764416073298552	1975	16522000
Portugal	PRT	3.43207456108917	9172000	1.17248146532926	0.535556714234315	1975	4380000
Republic of Korea	KOR	1.76292500374895	35379000	1.36248433628235	0.246233837454869	1975	17738000
Republic of Moldova	MDA	0.531724669001664	3840000	1.17402005903933	-0.274313190423516	1975	1806000
Romania	ROU	2.55220768100459	21666000	0.710775716175882	0.406916011367495	1975	10669000
Saudi Arabia	SAU	0.0589487691284099	7419000	2.81394617423732	-1.22952525869986	1975	3858000
Serbia	SRB	2.92715526277877	8497000	0.694355501091171	0.466445758983064	1975	4201000
Singapore	SGP	5.8800923734736	2260000	2.65796460176991	0.769384148690891	1975	1153000
Slovakia	SVK	2.8649677812775	4753000	3.02323678612338	0.457119742362022	1975	2341000
