Country_Name	Country_3char	AAMR_per_million	population	PC_asbestos_kg	AAMR_per_million_log10	Year	male_population
South Africa	ZAF	10.321613005967	25195000	0.693232784282596	1.01374757179228	1975	12556000
Spain	ESP	7.11872513791015	35879000	2.20983490807065	0.852402224655866	1975	17566000
Sri Lanka	LKA	0.164249807819906	13755000	0.169077911062644	-0.784495129913101	1975	7037000
Sweden	SWE	11.1022056425517	8197000	1.43072668862592	1.04540926736607	1975	4076000
Switzerland	CHE	18.4001762878285	6337000	2.93624743569512	1.26482198390434	1975	3088000
Thailand	THA	0.03312447786132	42326000	0.965119942037203	-1.47985095875279	1975	21213000
Tunisia	TUN	0.188285714285714	5657000	0.543456484591362	-0.725182629756266	1975	2844000
Turkey	TUR	6.56691462227136	39277000	0.56553029338629	0.817361369977641	1975	19515000
United Kingdom	GBR	30.7264987649228	56152000	2.26117205679821	1.48751307591848	1975	27316000
United States of America	USA	7.68231015032851	219081000	2.39156141640154	0.885491836525748	1975	107741000
Uruguay	URY	1.69106721333865	2830000	0.74793875147232	0.228160869455799	1975	1401000
Venezuela	VEN	0.864200777559934	13190000	0.879959565327268	-0.0633853472705224	1975	6678000
